Timestamp|BallId|PositionX|PositionY|VelocityX|VelocityY|Mass|Radius
2026-06-08 20:28:27.992|3|296,4403|21,3108|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:27.999|2|354,1913|89,3164|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:27.999|4|220,4118|177,6774|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:27.999|1|286,6289|296,6261|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:27.999|0|129,5452|166,9944|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.018|4|218,9473|179,4745|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.018|2|355,0031|90,4438|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.018|0|126,8154|164,6874|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.018|3|293,8317|19,2589|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:28.018|1|285,3551|299,0507|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.034|3|291,2231|17,2070|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:28.034|0|124,0856|162,3804|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.034|2|355,8148|91,5711|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.034|4|217,4828|181,2716|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.034|1|284,0814|301,4753|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.050|4|216,0182|183,0687|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.050|3|288,6146|15,1552|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:28.050|2|356,6265|92,6985|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.050|0|121,3559|160,0733|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.050|1|282,8076|303,9000|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.067|0|118,6261|157,7663|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.067|4|214,5537|184,8658|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.067|1|281,5338|306,3246|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.067|2|357,4382|93,8258|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.067|3|286,0060|13,1033|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:28.086|1|280,2601|308,7492|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.086|0|115,8963|155,4593|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.086|4|213,0892|186,6628|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.086|2|358,2499|94,9532|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.086|3|283,3975|11,0514|-2,6086|-2,0519|5,0000|10,0000
2026-06-08 20:28:28.103|3|280,7889|10,0000|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.103|0|113,1665|153,1523|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.104|4|211,6246|188,4599|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.104|2|359,0616|96,0806|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.104|1|278,9863|311,1738|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.120|0|110,4368|150,8452|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.120|4|210,1601|190,2570|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.120|1|277,7125|313,5985|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.120|3|278,1804|12,0519|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.120|2|359,8733|97,2079|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.138|1|276,4387|316,0231|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.138|4|208,6956|192,0541|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.138|3|275,5718|14,1037|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.138|2|360,6850|98,3353|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.140|0|107,7070|148,5382|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.157|2|361,4967|99,4626|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.157|0|104,9772|146,2312|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.157|3|272,9633|16,1556|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.157|4|207,2311|193,8512|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.157|1|275,1650|318,4477|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.183|3|270,3547|18,2075|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.183|4|205,7665|195,6483|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.183|0|102,2475|143,9242|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.183|1|273,8912|320,8723|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.183|2|362,3084|100,5900|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.202|2|363,1201|101,7173|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.202|0|99,5177|141,6171|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.202|3|267,7462|20,2594|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.202|1|272,6174|323,2970|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.202|4|204,3020|197,4454|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.220|1|271,3437|325,7216|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.220|2|363,9318|102,8447|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.220|4|202,8375|199,2424|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.220|0|96,7879|139,3101|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.220|3|265,1376|22,3112|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.248|2|364,7435|103,9720|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.248|1|270,0699|328,1462|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.248|3|262,5291|24,3631|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.248|4|201,3729|201,0395|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.248|0|94,0582|137,0031|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.267|3|259,9205|26,4150|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.267|4|199,9084|202,8366|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.267|1|268,7961|330,5709|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.267|2|365,5552|105,0994|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.267|0|91,3284|134,6960|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.285|2|366,3669|106,2267|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.286|3|257,3120|28,4668|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.286|0|88,5986|132,3890|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.286|1|267,5224|332,9955|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.286|4|198,4439|204,6337|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.313|3|254,7034|30,5187|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.313|1|266,2486|335,4201|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.313|0|85,8689|130,0820|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.313|2|367,1787|107,3541|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.313|4|196,9794|206,4308|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.328|2|367,9904|108,4814|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.328|0|83,1391|127,7750|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.328|3|252,0949|32,5706|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.328|1|264,9748|337,8447|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.328|4|195,5148|208,2279|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.346|4|194,0503|210,0249|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.346|2|368,8021|109,6088|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.346|3|249,4863|34,6225|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.346|0|80,4093|125,4679|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.347|1|263,7011|340,2694|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.370|1|262,4273|342,6940|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.370|2|369,6138|110,7361|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.370|0|77,6795|123,1609|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.370|4|192,5858|211,8220|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.370|3|246,8778|36,6743|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.388|0|74,9498|120,8539|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.388|2|370,4255|111,8635|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.388|4|191,1213|213,6191|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.388|3|244,2692|38,7262|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.388|1|261,1535|345,1186|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.406|1|259,8797|347,5432|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.406|0|72,2200|118,5469|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.406|4|189,6567|215,4162|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.406|3|241,6607|40,7781|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.406|2|371,2372|112,9908|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.422|2|372,0489|114,1182|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.422|1|258,6060|349,9679|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.422|4|188,1922|217,2133|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.422|0|69,4902|116,2398|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.422|3|239,0521|42,8300|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.438|4|186,7277|219,0104|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.438|3|236,4436|44,8818|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.438|0|66,7605|113,9328|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.438|2|372,8606|115,2455|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.438|1|257,3322|352,3925|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.455|0|64,0307|111,6258|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.455|2|373,6723|116,3729|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.455|3|233,8350|46,9337|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.455|4|185,2631|220,8075|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.455|1|256,0584|354,8171|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.471|2|374,4840|117,5003|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.471|3|231,2265|48,9856|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.471|1|254,7847|357,2418|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.471|0|61,3009|109,3187|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.471|4|183,7986|222,6045|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.486|0|58,5712|107,0117|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.486|1|253,5109|359,6664|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.486|2|375,2957|118,6276|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.486|4|182,3341|224,4016|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.486|3|228,6179|51,0374|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.502|4|180,8696|226,1987|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.502|2|376,1074|119,7550|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.502|3|226,0094|53,0893|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.502|0|55,8414|104,7047|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.502|1|252,2371|362,0910|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.518|1|250,9634|364,5156|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.518|3|223,4008|55,1412|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.518|2|376,9191|120,8823|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.518|4|179,4050|227,9958|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.518|0|53,1116|102,3977|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.535|4|177,9405|229,7929|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.535|2|377,7308|122,0097|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.535|1|249,6896|366,9403|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.535|0|50,3818|100,0906|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.535|3|220,7923|57,1931|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.551|0|47,6521|97,7836|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.551|1|248,4158|369,3649|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.551|3|218,1837|59,2449|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.551|4|176,4760|231,5900|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.551|2|378,5425|123,1370|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.567|2|379,3542|124,2644|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.567|4|175,0114|233,3871|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.567|3|215,5751|61,2968|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.567|1|247,1421|371,7895|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.567|0|44,9223|95,4766|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.584|4|173,5469|235,1841|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.584|2|380,1660|125,3917|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.584|3|212,9666|63,3487|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.584|1|245,8683|374,2141|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.584|0|42,1925|93,1696|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.600|0|39,4628|90,8625|-2,7298|-2,3070|5,0000|10,0000
2026-06-08 20:28:28.600|3|210,3580|65,4005|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.600|1|244,5945|376,6388|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.600|4|172,0824|236,9812|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.600|2|380,9777|126,5191|0,8117|1,1274|5,0000|10,0000
2026-06-08 20:28:28.617|4|170,6179|238,7783|-1,4645|1,7971|5,0000|10,0000
2026-06-08 20:28:28.617|3|207,7495|67,4524|-2,6086|2,0519|5,0000|10,0000
2026-06-08 20:28:28.617|1|243,3208|379,0634|-1,2738|2,4246|5,0000|10,0000
2026-06-08 20:28:28.617|2|381,7894|127,6464|0,8117|1,1274|5,0000|10,0000
